Year,URL
2024,https://djmag.com/features/dj-mags-top-tracks-of-2024
2023,https://djmag.com/features/dj-mag-top-tracks-2023
2022,https://djmag.com/features/dj-mags-top-tracks-2022
2021,https://djmag.com/longreads/dj-mags-top-tracks-2021
2020,https://djmag.com/longreads/2020-year-dance-music
2019,https://djmag.com/longreads/dj-mag-top-50-tracks-2019
2018,https://djmag.com/longreads/dj-mag’s-top-50-tracks-2018
2017,https://djmag.com/content/top-50-tracks-2017
2016,https://djmag.com/features/tunes-2016
2015,https://djmag.com/features/tunes-2015
