DJmag_top_track_year,artist,title
2024,Adam Port,Move
2024,Afrosurrealist,leftcheekslapper
2024,Ahadadream,TAKA
2024,Ame,Shadow Of Love
2024,ANOTR,24
2024,Bakey,International Man
2024,Burial,Phoneglow
2024,BXKS and Joe James,Excuse Me
2024,CCL,The Plot Thickens
2024,Chloe Caillet,Last One For Today
2024,Chy Cartier,BOSSED UP
2024,Coffinte,I Like The Way She's Moving
2024,Cristale,Antisocial
2024,Cromby,House Flava
2024,DJ Babatr,The Journey
2024,DJ Lag,Hade Boss
2024,Djrum,Codex
2024,Effy,iluv
2024,ELUCID,Instant Transfer
2024,FKA twigs,Eusexua
2024,gyrofield,Lagrange
2024,Hamdi,Simplicity
2024,HiTech,SPANK!
2024,james K,Blinkmoth
2024,JIALING,ADDY
2024,Joker,S Wave
2024,Joy Orbison,flight fm
2024,Klinical,Ready
2024,Lady Shaka,E Tu
2024,Manga Saint Hilare,Alarm Bells
2024,Marlon Hoffstadt AKA DJ Daddy Trance,We Want More
2024,Meekz,Manny
2024,MoMa Ready,Track 5
2024,Necta,Body Talk
2024,Nick León,Bikini
2024,Novelist,Shoot Out
2024,Objekt,Chicken Garaage
2024,PAWSA,Pick Up The Phone
2024,Plus One,Bonk
2024,Pozer,Malicious Intentions
2024,Rohaan,Easy for them
2024,Salute,saving flowers
2024,Sammy Virji,Moonlight
2024,Shanti Celeste,Ice Cream Dream Boy
2024,The Trip,My Paradise
2024,TitoM,Tshwala Bam
2024,Tyler ICU,Ebasini
2024,Verraco,0∞
2024,Wata Igarashi,泡
2024,Yaeji,booboo
2023,Actress,Green Blue Amnesia Magic Haze
2023,Aho Ssan,Till The Sun Down
2023,Bakey,Last One
2023,Blanco,Londis
2023,Chase,Baddadan
2023,Doctor Jeep,Push The Body
2023,Fungi,Wub
2023,Golden Features,Touch
2023,Kai Alcé feat. Ash Lauryn,Underground & Black
2023,KETTAMA,Fly Away XTC
2023,KG,P.L.L
2023,Lauren Fla,I’d Risk It All To Be With You
2023,Loraine James,I DM U
2023,LVCA,Rabbit On The Moon
2023,Made by Pete,Horizon Red
