DJmag_top_track_year,artist,title,bpm,genre
2024,Adam Port,Move,120,Afro House
2024,Afrosurrealist,leftcheekslapper,,
2024,Ahadadream,TAKA,136,Bass / Club
2024,Ame,Shadow Of Love,125,Indie Dance
2024,ANOTR,24,122,Nu Disco / Disco
2024,Bakey,International Man,68,UK Garage / Bassline
2024,Burial,Phoneglow,143,Dance / Pop
2024,BXKS and Joe James,Excuse Me,,
2024,CCL,The Plot Thickens,110,Bass / Club
2024,Chloe Caillet,Last One For Today,85,Melodic House & Techno
2024,Chy Cartier,BOSSED UP,,
2024,Coffinte,I Like The Way She's Moving,137,Bass / Club
2024,Cristale,Antisocial,123,Hip-Hop
2024,Cromby,House Flava,132,House
2024,DJ Babatr,The Journey,138,Bass / Club
2024,DJ Lag,Hade Boss,114,Amapiano
2024,Djrum,Codex,153,Bass / Club
2024,Effy,iluv,138,Dance / Pop
2024,ELUCID,Instant Transfer,,
2024,FKA twigs,Eusexua,143,Electronica
2024,gyrofield,Lagrange,140,Drum & Bass
2024,Hamdi,Simplicity,140,140 / Deep Dubstep / Grime
2024,HiTech,SPANK!,153,Electronica
2024,james K,Blinkmoth,77,Electronica
2024,JIALING,ADDY,145,Breaks / Breakbeat / UK Bass
2024,Joker,S Wave,88,140 / Deep Dubstep / Grime
2024,Joy Orbison,flight fm,140,Breaks / Breakbeat / UK Bass
2024,Klinical,Ready,140,140 / Deep Dubstep / Grime
2024,Lady Shaka,E Tu,68,Breaks / Breakbeat / UK Bass
2024,Manga Saint Hilare,Alarm Bells,135,140 / Deep Dubstep / Grime
2024,Marlon Hoffstadt AKA DJ Daddy Trance,We Want More,,
2024,Meekz,Manny,,
2024,MoMa Ready,Track 5,103,Deep House
2024,Necta,Body Talk,160,Drum & Bass
2024,Nick León,Bikini,150,Bass / Club
2024,Novelist,Shoot Out,,
2024,Objekt,Chicken Garaage,103,Bass / Club
2024,PAWSA,Pick Up The Phone,129,House
2024,Plus One,Bonk,140,Bass / Club
2024,Pozer,Malicious Intentions,72,Hip-Hop
2024,Rohaan,Easy for them,140,Breaks / Breakbeat / UK Bass
2024,Salute,saving flowers,138,Electronica
2024,Sammy Virji,Moonlight,135,UK Garage / Bassline
2024,Shanti Celeste,Ice Cream Dream Boy,126,Deep House
2024,The Trip,My Paradise,135,House
2024,TitoM,Tshwala Bam,112,Dance / Pop
2024,Tyler ICU,Ebasini,113,Amapiano
2024,Verraco,0∞,70,Bass / Club
2024,Wata Igarashi,泡,136,Trance (Raw / Deep / Hypnotic)
2024,Yaeji,booboo,119,Bass / Club
2023,Actress,Green Blue Amnesia Magic Haze,90,Electronica
2023,Aho Ssan,Till The Sun Down,68,Electronica
2023,Bakey,Last One,129,UK Garage / Bassline
2023,Blanco,Londis,152,Hip-Hop
2023,Chase,Baddadan,88,Dance / Pop
2023,Doctor Jeep,Push The Body,162,Bass / Club
2023,Fungi,Wub,,
2023,Golden Features,Touch,124,Electronica
2023,Kai Alcé feat. Ash Lauryn,Underground & Black,,
2023,KETTAMA,Fly Away XTC,142,House
2023,KG,P.L.L,,
2023,Lauren Fla,I’d Risk It All To Be With You,128,Deep House
2023,Loraine James,I DM U,116,Electronica
2023,LVCA,Rabbit On The Moon,,
2023,Made by Pete,Horizon Red,120,Melodic House & Techno
2023,Marla Kether,BTR2,,
2023,Matmos,Mud-Dauber Wasp,,
2023,MCR-T,My Barn My Rules,147,Dance / Pop
2023,Mia Koden,Hot Take,,
2023,Mochakk,NO8D0,,
2023,Octo Octa,Late Night Love,132,Trance (Raw / Deep / Hypnotic)
2023,Pola,Phoneline,98,Drum & Bass
2023,Rainy Miller,Sweet,,
2023,Raito,Junkyard Dog',,
2023,Rumbleton,Right Ingredients,80,Drum & Bass
2023,Samrai,Oil Money,96,Electronica
2023,SBTRKT,L.F.O.,134,Dance / Pop
2023,Se,Crash,140,Pop
2023,Sofia Kourtesis,Madres,124,Electronica
2023,Special Request,Sliver,85,Drum & Bass
2023,TÉNÈBRE,Half Stab,,
2023,The Maghreban,M25,80,Bass / Club
2023,Tinashe,Talk To Me Nice,151,R&B
2023,Toumba,Petals,156,Bass / Club
2023,Tsibo,Overnight Jam,142,Techno (Raw / Deep / Hypnotic)
2023,Tyler ICU,Mnike,113,Amapiano
2023,Verraco,Escándaloo,137,Techno (Raw / Deep / Hypnotic)
2023,ZeroFG,Godzilla Dub,134,UK Garage / Bassline
2022,Ab-Soul,Do Better,,
2022,AK Sports,Flex,73,Techno (Peak Time / Driving)
2022,Anti Tra,Leggo,,
2022,AWEN,Your Voice,120,Electronica
2022,Beltran,Smack Yo’,127,Tech House
2022,Beyoncé,BREAK MY SOUL,115,Pop
2022,billy woods,Artichoke,,
2022,Bladee,The Flag Is Raised,138,House
2022,Buck Bumble,Buck Bumble,,
2022,C1,Hillside Demons,,
2022,Dirty Bird,The Question,130,Dance / Pop
2022,DJ Daddy Trance,Day ‘N’ Night,147,Dance / Pop
2022,Eliza Rose,B.O.T.A,82,Dance / Pop
2022,GOMID,Go,,
2022,Hamdi,Skanka,140,Dance / Pop
2022,Hassan Ideddir,Atfalouna,128,Indie Dance
2022,Jack J,Only You Know Why,128,Electronica
2022,John Noseda,Climax,126,Indie Dance
2022,Joy Orbison,pinky ring,135,UK Garage / Bassline
2022,Karen Nyame KG,Taboo,116,Afro House
2022,KH,Looking At Your Pager,126,Tech House
2022,Kimyan Law,Taproot,,
2022,K,Escape,125,Melodic House & Techno
2022,LF System,Afraid to Feel,136,Dance / Pop
2022,Liquid Earth,The Electronic Brain,,
2022,Lizzo,About Damn Time,109,Pop
2022,Manga Saint Hilare,Activated Remix,,
2022,Michael Diamond,Exodus,132,Electronica
2022,Minder,Boxes,87,Breaks / Breakbeat / UK Bass
2022,Ngoni Egan,Gaborone West Groove,145,Techno (Raw / Deep / Hypnotic)
2022,Nia Archives,Luv Like,160,Drum & Bass
2022,Nick León,Xtasis,138,House
2022,Nikki Nair,Startrack,90,Bass / Club
2022,Richie Blacker,Space Cadet,126,Melodic House & Techno
2022,Ruff Cru,THC,,
2022,Saint Abdullah,At The Opposite Pole Of Architectural Virtue,90,House
2022,Steve Lacy,Bad Habit,85,Pop
